id,date,tests,confirmed,recovered,deaths,hosp,vent,icu,population,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,stringency_index,iso_alpha_3,iso_alpha_2,iso_numeric,currency,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,key,key_apple_mobility,key_google_mobility
USA,1/1/20,0,0,0,0,0,0,0,326687501,0,0,0,0,0,0,0,0,0,0,0,0,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,1/2/20,0,0,0,0,0,0,0,326687501,0,0,0,0,0,0,0,0,0,0,0,0,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,1/3/20,0,0,0,0,0,0,0,326687501,0,0,0,0,0,0,0,0,0,0,0,0,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,1/4/20,0,0,0,0,0,0,0,326687501,0,0,0,0,0,0,0,0,0,0,0,0,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,1/5/20,0,0,0,0,0,0,0,326687501,0,0,0,0,0,0,0,0,0,0,0,0,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,1/6/20,0,0,0,0,0,0,0,326687501,0,0,0,0,0,0,0,0,0,0,0,0,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,1/7/20,0,0,0,0,0,0,0,326687501,0,0,0,0,0,0,0,0,0,0,0,0,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,1/8/20,0,0,0,0,0,0,0,326687501,0,0,0,0,0,0,0,0,0,0,0,0,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,1/9/20,0,0,0,0,0,0,0,326687501,0,0,0,0,0,0,0,0,0,0,0,0,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,1/10/20,0,0,0,0,0,0,0,326687501,0,0,0,0,0,0,0,0,0,0,0,0,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,1/11/20,0,0,0,0,0,0,0,326687501,0,0,0,0,0,0,0,0,0,0,0,0,USA,US,840,USN,1,United States,,,38,-97,,United States,US
USA,1/12/20,0,0,0,0,0,0,0,326687501,0,0,0,0,0,0,0,0,0,0,0,0,USA,US,840,USN,1,United States,,,38,-97,,United States,US
